estrutura,bloco,operacao,quantidade,tempo_ms
Splay,INSERT,insercao,1000,0.217428
Splay,ACCESS,busca,5000,0.349394
Splay,HOTSET,remocao,50,0.017112
Treap,RANDOM,insercao,1000,0.201121
Treap,RANDOM,busca,1000,0.056169
Treap,RANDOM,remocao,500,0.069959
Treap,SORTED,insercao,1000,0.087777
Treap,SORTED,busca,1000,0.052646
Treap,SORTED,remocao,500,0.031809
Treap,REVERSE,insercao,1000,0.087273
Treap,REVERSE,busca,1000,0.053854
Treap,REVERSE,remocao,500,0.034426
Trie,palavras,insercao,1000,1.05564
Trie,palavras,busca,1000,0.111231
Trie,palavras,remocao,500,0.165386
Patricia,palavras,insercao,1000,0.88552
Patricia,palavras,busca,1000,0.624706
Patricia,palavras,remocao,500,0.332888
KDTree,k2,insercao,2000,0.803984
KDTree,k2,vizinho_mais_proximo,8,0.449454
Splay,INSERT,insercao,1000,0.2836
Splay,ACCESS,busca,5000,0.3181
Splay,HOTSET,remocao,50,0.019
Treap,RANDOM,insercao,1000,0.5761
Treap,RANDOM,busca,1000,0.0501
Treap,RANDOM,remocao,500,0.0911
Treap,SORTED,insercao,1000,0.1643
Treap,SORTED,busca,1000,0.0593
Treap,SORTED,remocao,500,0.048
Treap,REVERSE,insercao,1000,0.166
Treap,REVERSE,busca,1000,0.0552
Treap,REVERSE,remocao,500,0.0466
Trie,palavras,insercao,1000,0.9191
Trie,palavras,busca,1000,0.0887
Trie,palavras,remocao,500,0.2506
Patricia,palavras,insercao,1000,1.0762
Patricia,palavras,busca,1000,0.3661
Patricia,palavras,remocao,500,0.4494
KDTree,k2,insercao,2000,1.1419
KDTree,k2,vizinho_mais_proximo,8,0.0815
Splay,INSERT,insercao,1000,0.3029
Splay,ACCESS,busca,5000,7.2793
Splay,HOTSET,remocao,50,0.0183
Treap,RANDOM,insercao,1000,0.3783
Treap,RANDOM,busca,1000,0.0596
Treap,RANDOM,remocao,500,0.0917
Treap,SORTED,insercao,1000,0.1712
Treap,SORTED,busca,1000,0.0567
Treap,SORTED,remocao,500,0.0503
Treap,REVERSE,insercao,1000,0.2899
Treap,REVERSE,busca,1000,0.0545
Treap,REVERSE,remocao,500,0.0489
Trie,palavras,insercao,1000,0.9573
Trie,palavras,busca,1000,0.1677
Trie,palavras,remocao,500,0.2714
Patricia,palavras,insercao,1000,1.0298
Patricia,palavras,busca,1000,0.4371
Patricia,palavras,remocao,500,0.4904
KDTree,k2,insercao,2000,1.0729
KDTree,k2,vizinho_mais_proximo,8,0.1738
